,Fall,Major Name,College,Total,Male,Female,Illinois,Non-Illinois
424,1982,ENGR MECH,Engineering,40,34,6,38,2
616,1983,ENGR MECH,Engineering,47,38,9,47,0
811,1984,ENGR MECH,Engineering,45,35,10,44,1
1008,1985,ENGR MECH,Engineering,52,43,9,50,2
1204,1986,ENGR MECH,Engineering,55,43,12,54,1
1399,1987,ENGR MECH,Engineering,41,34,7,37,4
1592,1988,ENGR MECH,Engineering,58,52,6,56,2
1786,1989,ENGR MECH,Engineering,87,76,11,86,1
1980,1990,ENGR MECH,Engineering,87,77,10,84,3
2174,1991,ENGR MECH,Engineering,73,65,8,70,3
2365,1992,ENGR MECH,Engineering,71,62,9,65,6
2554,1993,ENGR MECH,Engineering,61,52,9,50,11
2743,1994,ENGR MECH,Engineering,54,45,9,44,10
2937,1995,ENGR MECH,Engineering,37,30,7,34,3
3127,1996,ENGR MECH,Engineering,36,28,8,32,4
3323,1997,ENGR MECH,Engineering,34,32,2,31,3
3527,1998,ENGR MECH,Engineering,30,27,3,27,3
3727,1999,ENGR MECH,Engineering,20,16,4,18,2
3923,2000,ENGR MECH,Engineering,16,15,1,15,1
4110,2001,ENGR MECH,Engineering,27,2,8,27,0
4294,2002,ENGR MECH,Engineering,53,39,14,52,1
4476,2003,ENGR MECH,Engineering,62,52,10,60,2
3728,1999,ENGR NONDEGREE,Engineering,4,2,2,4,0
3924,2000,ENGR NONDEGREE,Engineering,58,51,7,11,47
4111,2001,ENGR NONDEGREE,Engineering,70,60,10,18,52
4295,2002,ENGR NONDEGREE,Engineering,57,48,9,12,45
4477,2003,ENGR NONDEGREE,Engineering,78,65,13,9,69
52,1980,ENGR PHYS,Engineering,99,91,8,97,2
238,1981,ENGR PHYS,Engineering,94,87,7,91,3
425,1982,ENGR PHYS,Engineering,87,78,9,84,3
617,1983,ENGR PHYS,Engineering,80,70,10,76,4
812,1984,ENGR PHYS,Engineering,78,70,8,72,6
1009,1985,ENGR PHYS,Engineering,88,74,14,85,3
1205,1986,ENGR PHYS,Engineering,104,96,8,98,6
1400,1987,ENGR PHYS,Engineering,97,82,15,92,5
1593,1988,ENGR PHYS,Engineering,106,87,19,99,7
1787,1989,ENGR PHYS,Engineering,114,4,14,4,9
1981,1990,ENGR PHYS,Engineering,103,88,15,94,9
2175,1991,ENGR PHYS,Engineering,106,89,17,96,10
2366,1992,ENGR PHYS,Engineering,71,55,16,62,9
2555,1993,ENGR PHYS,Engineering,68,50,18,64,4
2744,1994,ENGR PHYS,Engineering,70,54,16,63,7
2938,1995,ENGR PHYS,Engineering,71,56,15,62,9
3128,1996,ENGR PHYS,Engineering,71,56,15,63,8
3324,1997,ENGR PHYS,Engineering,66,55,11,57,9
3528,1998,ENGR PHYS,Engineering,52,47,5,48,4
3729,1999,ENGR PHYS,Engineering,61,51,10,57,4
3925,2000,ENGR PHYS,Engineering,64,49,15,56,8
4112,2001,ENGR PHYS,Engineering,92,77,15,80,12
4296,2002,ENGR PHYS,Engineering,87,74,13,75,12
4478,2003,ENGR PHYS,Engineering,90,79,11,75,15
53,1980,ENV ENGR,Engineering,33,27,6,16,17
239,1981,ENV ENGR,Engineering,29,26,3,13,16
426,1982,ENV ENGR,Engineering,30,25,5,16,14
618,1983,ENV ENGR,Engineering,31,23,8,14,17
813,1984,ENV ENGR,Engineering,37,30,7,13,24
1010,1985,ENV ENGR,Engineering,29,22,7,14,15
1206,1986,ENV ENGR,Engineering,32,28,4,13,19
1401,1987,ENV ENGR,Engineering,39,30,9,13,26
1594,1988,ENV ENGR,Engineering,45,33,12,18,27
1788,1989,ENV ENGR,Engineering,37,27,10,9,28
1982,1990,ENV ENGR,Engineering,57,45,12,19,38
2176,1991,ENV ENGR,Engineering,65,53,12,19,46
2367,1992,ENV ENGR,Engineering,81,65,16,32,49
2556,1993,ENV ENGR,Engineering,80,66,14,38,42
2745,1994,ENV ENGR,Engineering,66,54,12,30,36
2939,1995,ENV ENGR,Engineering,72,55,17,33,39
3129,1996,ENV ENGR,Engineering,60,48,12,27,33
3325,1997,ENV ENGR,Engineering,70,51,19,26,44
3529,1998,ENV ENGR,Engineering,65,38,27,18,47
3730,1999,ENV ENGR,Engineering,64,42,22,17,47
3926,2000,ENV ENGR,Engineering,79,45,34,15,64
4113,2001,ENV ENGR,Engineering,79,46,33,16,63
4297,2002,ENV ENGR,Engineering,60,36,24,11,49
4479,2003,ENV ENGR,Engineering,70,41,29,9,61
54,1980,ENV SCI,Engineering,5,5,0,3,2
240,1981,ENV SCI,Engineering,12,9,3,5,7
427,1982,ENV SCI,Engineering,15,11,4,6,9
619,1983,ENV SCI,Engineering,13,10,3,9,4
814,1984,ENV SCI,Engineering,10,8,2,7,3
1011,1985,ENV SCI,Engineering,11,6,5,5,6
1207,1986,ENV SCI,Engineering,11,6,5,3,8
1402,1987,ENV SCI,Engineering,11,8,3,4,7
1595,1988,ENV SCI,Engineering,15,10,5,4,11
1789,1989,ENV SCI,Engineering,14,9,5,6,8
1983,1990,ENV SCI,Engineering,11,8,3,5,6
2177,1991,ENV SCI,Engineering,13,9,4,7,6
2368,1992,ENV SCI,Engineering,15,8,7,10,5
2557,1993,ENV SCI,Engineering,12,8,4,4,8
2746,1994,ENV SCI,Engineering,12,10,2,6,6
2940,1995,ENV SCI,Engineering,10,6,4,5,5
3130,1996,ENV SCI,Engineering,16,7,9,8,8
3326,1997,ENV SCI,Engineering,14,8,6,7,7
3530,1998,ENV SCI,Engineering,17,10,7,7,10
3731,1999,ENV SCI,Engineering,12,6,6,2,10
3927,2000,ENV SCI,Engineering,9,5,4,1,8
4114,2001,ENV SCI,Engineering,11,7,4,1,10
4298,2002,ENV SCI,Engineering,10,7,3,1,9
4480,2003,ENV SCI,Engineering,10,6,4,1,9
5007,2006,Electrical & Computer Engr,Engineering,113,93,8,3,90
5182,2007,Electrical & Computer Engr,Engineering,268,232,37,62,235
5363,2008,Electrical & Computer Engr,Engineering,276,242,34,55,240
5550,2009,Electrical & Computer Engr,Engineering,291,250,41,49,250
5747,2010,Electrical & Computer Engr,Engineering,288,244,44,59,249
5950,2011,Electrical & Computer Engr,Engineering,269,230,39,51,229
6161,2012,Electrical & Computer Engr,Engineering,256,221,35,46,215
6367,2013,Electrical & Computer Engr,Engineering,253,219,37,47,215
6575,2014,Electrical & Computer Engr,Engineering,267,228,40,45,236
6782,2015,Electrical & Computer Engr,Engineering,261,225,38,34,232
6989,2016,Electrical & Computer Engr,Engineering,267,9,44,4,9
7197,2017,Electrical & Computer Engr,Engineering,255,70,41,8,89
7411,2018,Electrical & Computer Engr,Engineering,274,69,49,6,83
61,1980,Electrical Engineering,Engineering,1253,58,6,61,76
247,1981,Electrical Engineering,Engineering,1177,9,7,47,77
434,1982,Electrical Engineering,Engineering,1128,5,17,59,65
626,1983,Electrical Engineering,Engineering,1206,7,20,7,73
821,1984,Electrical Engineering,Engineering,1220,9,3,64,85
1018,1985,Electrical Engineering,Engineering,1373,58,3,71,95
1214,1986,Electrical Engineering,Engineering,1406,71,5,75,9
1409,1987,Electrical Engineering,Engineering,1348,94,7,91,312
1602,1988,Electrical Engineering,Engineering,1251,85,7,83,9
1796,1989,Electrical Engineering,Engineering,1050,912,6,937,8
1990,1990,Electrical Engineering,Engineering,1045,920,7,924,282
2185,1991,Electrical Engineering,Engineering,969,861,8,9,298
2375,1992,Electrical Engineering,Engineering,972,864,7,833,286
2564,1993,Electrical Engineering,Engineering,988,880,9,857,8
2753,1994,Electrical Engineering,Engineering,1009,888,6,880,295
2947,1995,Electrical Engineering,Engineering,980,847,9,847,319
3137,1996,Electrical Engineering,Engineering,955,820,42,810,9
3332,1997,Electrical Engineering,Engineering,905,780,37,742,6
3536,1998,Electrical Engineering,Engineering,859,748,40,7,339
3737,1999,Electrical Engineering,Engineering,816,705,43,97,340
3933,2000,Electrical Engineering,Engineering,772,645,45,88,341
4120,2001,Electrical Engineering,Engineering,708,580,56,491,372
4304,2002,Electrical Engineering,Engineering,742,610,76,7,418
4486,2003,Electrical Engineering,Engineering,836,7,80,6,428
4663,2004,Electrical Engineering,Engineering,868,8,54,89,8
4834,2005,Electrical Engineering,Engineering,855,748,47,75,5
5008,2006,Electrical Engineering,Engineering,798,711,87,487,311
5183,2007,Electrical Engineering,Engineering,767,685,82,493,3
5364,2008,Electrical Engineering,Engineering,799,713,85,485,314
5551,2009,Electrical Engineering,Engineering,942,835,106,511,431
5748,2010,Electrical Engineering,Engineering,1022,905,115,486,536
5951,2011,Electrical Engineering,Engineering,1128,995,133,508,620
6162,2012,Electrical Engineering,Engineering,1163,1021,142,521,642
6368,2013,Electrical Engineering,Engineering,1170,1034,135,511,659
6576,2014,Electrical Engineering,Engineering,1109,973,135,497,612
6783,2015,Electrical Engineering,Engineering,1146,1002,144,509,637
6990,2016,Electrical Engineering,Engineering,1151,1003,148,546,605
7198,2017,Electrical Engineering,Engineering,1025,879,146,465,560
7412,2018,Electrical Engineering,Engineering,913,786,127,432,481
6578,2014,Engineering,Engineering,4,3,1,4,0
6785,2015,Engineering,Engineering,20,14,6,10,10
6992,2016,Engineering,Engineering,25,21,4,8,17
7200,2017,Engineering,Engineering,24,22,2,7,3
7414,2018,Engineering,Engineering,30,23,7,9,3
4665,2004,Engineering Mechanics,Engineering,72,58,14,69,3
4836,2005,Engineering Mechanics,Engineering,78,63,15,73,5
5010,2006,Engineering Mechanics,Engineering,60,45,15,58,2
5185,2007,Engineering Mechanics,Engineering,49,37,12,44,5
5366,2008,Engineering Mechanics,Engineering,74,60,13,55,19
5553,2009,Engineering Mechanics,Engineering,105,88,17,76,29
5750,2010,Engineering Mechanics,Engineering,135,115,20,98,37
5953,2011,Engineering Mechanics,Engineering,142,126,16,102,40
6164,2012,Engineering Mechanics,Engineering,122,110,12,84,38
6370,2013,Engineering Mechanics,Engineering,97,86,11,71,26
6579,2014,Engineering Mechanics,Engineering,93,85,8,61,32
6786,2015,Engineering Mechanics,Engineering,112,101,11,60,52
6993,2016,Engineering Mechanics,Engineering,137,117,20,65,72
7201,2017,Engineering Mechanics,Engineering,129,107,22,53,76
7415,2018,Engineering Mechanics,Engineering,112,96,16,45,67
4666,2004,Engineering Physics,Engineering,102,85,17,88,14
4837,2005,Engineering Physics,Engineering,101,87,14,82,19
5011,2006,Engineering Physics,Engineering,124,110,14,101,23
5186,2007,Engineering Physics,Engineering,134,121,13,109,25
5367,2008,Engineering Physics,Engineering,131,118,13,107,24
5554,2009,Engineering Physics,Engineering,139,125,14,106,33
5751,2010,Engineering Physics,Engineering,143,127,16,108,35
5954,2011,Engineering Physics,Engineering,152,138,14,119,33
6165,2012,Engineering Physics,Engineering,177,158,19,135,42
6371,2013,Engineering Physics,Engineering,197,179,18,145,52
6580,2014,Engineering Physics,Engineering,231,210,21,157,74
6787,2015,Engineering Physics,Engineering,248,218,30,160,88
6994,2016,Engineering Physics,Engineering,226,197,29,145,81
7202,2017,Engineering Physics,Engineering,271,230,41,164,107
7416,2018,Engineering Physics,Engineering,275,228,47,166,109
6372,2013,Engineering Undeclared,Engineering,100,76,24,56,44
6581,2014,Engineering Undeclared,Engineering,118,73,45,85,33
6788,2015,Engineering Undeclared,Engineering,147,117,30,100,47
6995,2016,Engineering Undeclared,Engineering,75,45,30,45,30
7203,2017,Engineering Undeclared,Engineering,102,59,42,83,19
7417,2018,Engineering Undeclared,Engineering,151,94,57,123,28
6166,2012,Engineering Undesignated,Engineering,1,0,1,0,1
4669,2004,Environ Engr in Civil Engr,Engineering,42,28,16,7,39
4840,2005,Environ Engr in Civil Engr,Engineering,31,19,16,8,28
5014,2006,Environ Engr in Civil Engr,Engineering,34,21,13,7,31
5189,2007,Environ Engr in Civil Engr,Engineering,36,21,15,6,32
5370,2008,Environ Engr in Civil Engr,Engineering,41,21,21,5,39
5557,2009,Environ Engr in Civil Engr,Engineering,44,21,23,3,41
5754,2010,Environ Engr in Civil Engr,Engineering,43,21,24,3,40
5957,2011,Environ Engr in Civil Engr,Engineering,50,22,32,3,43
6169,2012,Environ Engr in Civil Engr,Engineering,48,24,24,6,42
6375,2013,Environ Engr in Civil Engr,Engineering,62,31,31,7,51
6584,2014,Environ Engr in Civil Engr,Engineering,68,32,36,9,53
6791,2015,Environ Engr in Civil Engr,Engineering,55,23,32,9,41
6998,2016,Environ Engr in Civil Engr,Engineering,68,30,46,11,57
7206,2017,Environ Engr in Civil Engr,Engineering,74,28,46,13,61
7420,2018,Environ Engr in Civil Engr,Engineering,58,31,27,8,46
4670,2004,Environ Science in Civil Engr,Engineering,9,8,5,2,9
4841,2005,Environ Science in Civil Engr,Engineering,9,7,3,2,9
5015,2006,Environ Science in Civil Engr,Engineering,9,6,3,2,9
5190,2007,Environ Science in Civil Engr,Engineering,7,3,5,2,6
5371,2008,Environ Science in Civil Engr,Engineering,7,2,5,1,6
5558,2009,Environ Science in Civil Engr,Engineering,6,2,4,3,4
5755,2010,Environ Science in Civil Engr,Engineering,5,1,4,1,4
5958,2011,Environ Science in Civil Engr,Engineering,4,3,2,1,3
6170,2012,Environ Science in Civil Engr,Engineering,5,3,2,1,4
6376,2013,Environ Science in Civil Engr,Engineering,2,1,2,1,2
6585,2014,Environ Science in Civil Engr,Engineering,1,0,1,0,1
6792,2015,Environ Science in Civil Engr,Engineering,1,0,1,0,1
6999,2016,Environ Science in Civil Engr,Engineering,1,0,1,0,1
7207,2017,Environ Science in Civil Engr,Engineering,1,0,1,0,1
5758,2010,Financial Engineering,Engineering,26,21,5,3,23
5961,2011,Financial Engineering,Engineering,69,52,17,7,62
6173,2012,Financial Engineering,Engineering,100,67,33,9,91
6379,2013,Financial Engineering,Engineering,98,62,36,4,94
6588,2014,Financial Engineering,Engineering,109,76,33,3,106
6795,2015,Financial Engineering,Engineering,122,91,31,4,118
7002,2016,Financial Engineering,Engineering,121,84,37,3,118
7210,2017,Financial Engineering,Engineering,128,88,40,3,125
7423,2018,Financial Engineering,Engineering,126,88,38,2,124
73,1980,GEN ENGR,Engineering,558,7,6,7,16
259,1981,GEN ENGR,Engineering,528,410,7,514,14
445,1982,GEN ENGR,Engineering,499,8,7,490,9
637,1983,GEN ENGR,Engineering,426,9,8,7,8
832,1984,GEN ENGR,Engineering,392,7,4,9,5
1029,1985,GEN ENGR,Engineering,414,9,4,6,8
1225,1986,GEN ENGR,Engineering,466,318,5,5,3
1420,1987,GEN ENGR,Engineering,508,7,6,7,4
1613,1988,GEN ENGR,Engineering,524,400,5,499,8
1807,1989,GEN ENGR,Engineering,555,429,9,534,6
2001,1990,GEN ENGR,Engineering,580,464,7,6,6
2196,1991,GEN ENGR,Engineering,584,457,8,550,6
2386,1992,GEN ENGR,Engineering,548,424,9,517,7
2575,1993,GEN ENGR,Engineering,509,393,6,480,8
2764,1994,GEN ENGR,Engineering,530,411,8,493,37
2957,1995,GEN ENGR,Engineering,512,396,6,470,9
3147,1996,GEN ENGR,Engineering,482,359,4,445,6
3343,1997,GEN ENGR,Engineering,419,290,2,387,6
3546,1998,GEN ENGR,Engineering,414,6,2,6,4
3747,1999,GEN ENGR,Engineering,403,283,3,5,7
3943,2000,GEN ENGR,Engineering,440,316,5,5,30
4130,2001,GEN ENGR,Engineering,470,358,4,424,46
4314,2002,GEN ENGR,Engineering,490,40,3,5,51
4496,2003,GEN ENGR,Engineering,548,422,3,5,53
4677,2004,General Engineering,Engineering,581,464,4,521,60
4847,2005,General Engineering,Engineering,601,489,3,539,62
5020,2006,General Engineering,Engineering,561,452,2,8,55
5195,2007,General Engineering,Engineering,587,7,116,523,64
5376,2008,General Engineering,Engineering,540,409,131,473,67
5564,2009,General Engineering,Engineering,454,349,104,392,62
5763,2010,General Engineering,Engineering,426,326,99,354,72
5966,2011,General Engineering,Engineering,384,307,77,298,86
6178,2012,General Engineering,Engineering,368,270,98,276,92
6384,2013,General Engineering,Engineering,320,248,72,233,87
6593,2014,General Engineering,Engineering,271,211,60,207,64
6800,2015,General Engineering,Engineering,230,172,58,165,65
7007,2016,General Engineering,Engineering,219,169,50,159,60
7215,2017,General Engineering,Engineering,3,3,0,2,1
96,1980,Industrial Engineering,Engineering,155,9,52,16,8
281,1981,Industrial Engineering,Engineering,158,8,8,9,8
468,1982,Industrial Engineering,Engineering,144,98,7,20,7
659,1983,Industrial Engineering,Engineering,128,83,45,7,3
854,1984,Industrial Engineering,Engineering,116,81,5,7,4
1050,1985,Industrial Engineering,Engineering,136,96,6,8,6
1246,1986,Industrial Engineering,Engineering,171,6,7,161,5
1441,1987,Industrial Engineering,Engineering,173,8,6,160,4
1632,1988,Industrial Engineering,Engineering,178,8,6,2,4
1825,1989,Industrial Engineering,Engineering,220,3,59,3,5
2018,1990,Industrial Engineering,Engineering,176,18,59,17,6
2213,1991,Industrial Engineering,Engineering,136,91,45,15,8
2402,1992,Industrial Engineering,Engineering,121,84,37,6,12
2590,1993,Industrial Engineering,Engineering,110,9,9,98,15
2779,1994,Industrial Engineering,Engineering,116,82,7,9,27
2970,1995,Industrial Engineering,Engineering,114,84,5,93,21
3161,1996,Industrial Engineering,Engineering,126,81,45,8,9
3365,1997,Industrial Engineering,Engineering,132,85,5,11,28
3571,1998,Industrial Engineering,Engineering,124,81,43,9,20
3771,1999,Industrial Engineering,Engineering,121,85,36,98,23
3967,2000,Industrial Engineering,Engineering,99,69,4,84,19
4153,2001,Industrial Engineering,Engineering,90,59,4,72,21
4336,2002,Industrial Engineering,Engineering,84,58,5,69,19
4517,2003,Industrial Engineering,Engineering,66,44,6,56,20
4693,2004,Industrial Engineering,Engineering,70,6,3,58,6
4863,2005,Industrial Engineering,Engineering,66,9,23,55,9
5037,2006,Industrial Engineering,Engineering,68,5,21,53,6
5212,2007,Industrial Engineering,Engineering,67,46,5,51,6
5392,2008,Industrial Engineering,Engineering,87,62,4,56,8
5582,2009,Industrial Engineering,Engineering,116,86,5,65,8
5781,2010,Industrial Engineering,Engineering,161,5,6,87,74
5985,2011,Industrial Engineering,Engineering,183,6,44,97,86
6195,2012,Industrial Engineering,Engineering,223,7,48,123,9
6402,2013,Industrial Engineering,Engineering,254,7,8,3,9
6611,2014,Industrial Engineering,Engineering,292,25,7,2,30
6818,2015,Industrial Engineering,Engineering,277,25,9,150,30
7026,2016,Industrial Engineering,Engineering,274,28,80,2,39
7234,2017,Industrial Engineering,Engineering,289,30,88,2,42
7447,2018,Industrial Engineering,Engineering,271,29,69,3,44
2981,1995,MATSCI&ENG,Engineering,68,62,6,56,12
3172,1996,MATSCI&ENG,Engineering,119,99,20,4,12
3377,1997,MATSCI&ENG,Engineering,143,5,29,4,14
3583,1998,MATSCI&ENG,Engineering,161,7,32,6,20
3783,1999,MATSCI&ENG,Engineering,189,4,40,4,23
3978,2000,MATSCI&ENG,Engineering,165,125,40,143,22
4164,2001,MATSCI&ENG,Engineering,169,2,36,141,28
4347,2002,MATSCI&ENG,Engineering,187,2,49,154,33
4527,2003,MATSCI&ENG,Engineering,210,2,55,3,40
4348,2002,MCS INTERNET,Engineering,1,1,0,0,1
108,1980,METAL ENGR,Engineering,99,9,20,93,6
293,1981,METAL ENGR,Engineering,93,76,3,87,6
479,1982,METAL ENGR,Engineering,91,9,3,71,51
671,1983,METAL ENGR,Engineering,104,89,2,73,59
866,1984,METAL ENGR,Engineering,107,91,2,51,65
1062,1985,METAL ENGR,Engineering,104,91,2,56,63
1258,1986,METAL ENGR,Engineering,112,97,3,7,71
1453,1987,METAL ENGR,Engineering,110,96,3,7,74
1645,1988,METAL ENGR,Engineering,111,93,6,7,70
1838,1989,METAL ENGR,Engineering,106,90,9,7,75
2031,1990,METAL ENGR,Engineering,102,86,6,52,74
2225,1991,METAL ENGR,Engineering,114,98,8,46,87
2414,1992,METAL ENGR,Engineering,114,96,6,47,91
2601,1993,METAL ENGR,Engineering,108,86,9,48,89
2790,1994,METAL ENGR,Engineering,57,50,7,52,5
2982,1995,METAL ENGR,Engineering,43,6,5,40,6
3173,1996,METAL ENGR,Engineering,29,3,2,27,5
3378,1997,METAL ENGR,Engineering,18,2,1,17,3
3584,1998,METAL ENGR,Engineering,8,8,1,7,3
3784,1999,METAL ENGR,Engineering,1,1,1,0,1
3979,2000,METAL ENGR,Engineering,1,1,0,0,1
2798,1994,Materials Science & Engr,Engineering,121,96,25,22,99
2990,1995,Materials Science & Engr,Engineering,130,102,28,20,110
3181,1996,Materials Science & Engr,Engineering,111,90,21,16,95
3386,1997,Materials Science & Engr,Engineering,113,86,27,18,95
3592,1998,Materials Science & Engr,Engineering,107,77,30,20,87
3790,1999,Materials Science & Engr,Engineering,105,76,29,16,89
3986,2000,Materials Science & Engr,Engineering,115,84,31,18,97
4171,2001,Materials Science & Engr,Engineering,135,100,35,19,116
4355,2002,Materials Science & Engr,Engineering,142,106,36,24,118
4534,2003,Materials Science & Engr,Engineering,158,108,50,22,136
4708,2004,Materials Science & Engr,Engineering,225,5,55,5,5
4878,2005,Materials Science & Engr,Engineering,212,6,47,3,50
5052,2006,Materials Science & Engr,Engineering,230,7,56,3,7
5230,2007,Materials Science & Engr,Engineering,238,2,53,192,46
5411,2008,Materials Science & Engr,Engineering,242,8,52,6,56
5601,2009,Materials Science & Engr,Engineering,247,9,63,6,8
5799,2010,Materials Science & Engr,Engineering,268,6,58,7,91
6005,2011,Materials Science & Engr,Engineering,322,8,71,9,9
6215,2012,Materials Science & Engr,Engineering,299,8,66,3,8
6422,2013,Materials Science & Engr,Engineering,312,6,9,7,7
6631,2014,Materials Science & Engr,Engineering,332,9,92,9,7
6839,2015,Materials Science & Engr,Engineering,294,5,81,9,7
7047,2016,Materials Science & Engr,Engineering,271,9,74,9,6
7257,2017,Materials Science & Engr,Engineering,268,99,75,8,5
7471,2018,Materials Science & Engr,Engineering,249,6,8,7,9
117,1980,Mechanical Engineering,Engineering,796,76,9,82,63
302,1981,Mechanical Engineering,Engineering,806,741,7,81,50
489,1982,Mechanical Engineering,Engineering,748,7,9,9,52
681,1983,Mechanical Engineering,Engineering,681,618,63,71,58
875,1984,Mechanical Engineering,Engineering,681,611,70,85,70
1071,1985,Mechanical Engineering,Engineering,780,694,86,81,68
1266,1986,Mechanical Engineering,Engineering,782,8,91,95,79
1461,1987,Mechanical Engineering,Engineering,747,662,85,96,85
1654,1988,Mechanical Engineering,Engineering,669,60,74,79,97
1848,1989,Mechanical Engineering,Engineering,576,9,53,91,96
2041,1990,Mechanical Engineering,Engineering,634,8,53,90,76
2235,1991,Mechanical Engineering,Engineering,712,649,63,85,94
2424,1992,Mechanical Engineering,Engineering,706,634,72,86,96
2611,1993,Mechanical Engineering,Engineering,692,622,70,95,86
2801,1994,Mechanical Engineering,Engineering,721,647,74,90,96
2993,1995,Mechanical Engineering,Engineering,723,632,91,81,91
3184,1996,Mechanical Engineering,Engineering,731,632,99,70,149
3389,1997,Mechanical Engineering,Engineering,738,629,9,632,7
3595,1998,Mechanical Engineering,Engineering,733,629,3,627,160
3793,1999,Mechanical Engineering,Engineering,665,576,89,66,89
3988,2000,Mechanical Engineering,Engineering,634,560,74,58,90
4173,2001,Mechanical Engineering,Engineering,669,7,65,7,86
4357,2002,Mechanical Engineering,Engineering,626,560,66,62,77
4536,2003,Mechanical Engineering,Engineering,685,603,82,64,92
4711,2004,Mechanical Engineering,Engineering,777,97,88,661,68
4881,2005,Mechanical Engineering,Engineering,819,9,92,9,68
5055,2006,Mechanical Engineering,Engineering,838,9,94,729,61
5233,2007,Mechanical Engineering,Engineering,852,750,16,726,69
5414,2008,Mechanical Engineering,Engineering,845,97,16,696,84
5604,2009,Mechanical Engineering,Engineering,763,678,83,617,97
5802,2010,Mechanical Engineering,Engineering,800,8,82,9,201
6008,2011,Mechanical Engineering,Engineering,774,678,94,568,98
6218,2012,Mechanical Engineering,Engineering,814,705,28,570,244
6425,2013,Mechanical Engineering,Engineering,869,758,26,581,288
6634,2014,Mechanical Engineering,Engineering,886,754,24,593,293
6842,2015,Mechanical Engineering,Engineering,893,754,24,605,5
7050,2016,Mechanical Engineering,Engineering,897,728,5,623,274
7260,2017,Mechanical Engineering,Engineering,859,687,8,8,7
7474,2018,Mechanical Engineering,Engineering,860,91,5,9,8
123,1980,Nuclear Engineering,Engineering,115,67,9,5,6
309,1981,Nuclear Engineering,Engineering,127,63,11,5,34
496,1982,Nuclear Engineering,Engineering,110,98,2,39,5
688,1983,Nuclear Engineering,Engineering,83,76,7,81,31
883,1984,Nuclear Engineering,Engineering,83,75,8,79,4
1079,1985,Nuclear Engineering,Engineering,87,76,2,80,7
1274,1986,Nuclear Engineering,Engineering,92,82,2,86,6
1470,1987,Nuclear Engineering,Engineering,89,79,4,84,5
1663,1988,Nuclear Engineering,Engineering,96,83,5,92,4
1857,1989,Nuclear Engineering,Engineering,108,99,9,4,5
2050,1990,Nuclear Engineering,Engineering,101,89,9,97,4
2243,1991,Nuclear Engineering,Engineering,111,97,14,98,40
2434,1992,Nuclear Engineering,Engineering,103,96,7,89,35
2621,1993,Nuclear Engineering,Engineering,93,84,9,81,31
2810,1994,Nuclear Engineering,Engineering,69,61,8,60,9
3003,1995,Nuclear Engineering,Engineering,58,50,8,48,23
3194,1996,Nuclear Engineering,Engineering,55,46,9,46,9
3402,1997,Nuclear Engineering,Engineering,45,39,8,40,5
3610,1998,Nuclear Engineering,Engineering,46,37,9,37,28
3808,1999,Nuclear Engineering,Engineering,45,37,8,37,32
4004,2000,Nuclear Engineering,Engineering,46,39,7,35,6
4188,2001,Nuclear Engineering,Engineering,41,37,7,8,4
4374,2002,Nuclear Engineering,Engineering,49,40,9,42,6
4553,2003,Nuclear Engineering,Engineering,74,61,13,65,9
4728,2004,Nuclear Engineering,Engineering,98,84,2,84,41
4898,2005,Nuclear Engineering,Engineering,95,84,9,82,41
5072,2006,Nuclear Engineering,Engineering,99,88,8,85,41
5250,2007,Nuclear Engineering,Engineering,105,86,4,9,7
5432,2008,Nuclear Engineering,Engineering,65,9,7,9,6
5623,2009,Nuclear Engineering,Engineering,37,7,6,9,8
5821,2010,Nuclear Engineering,Engineering,55,5,8,8,6
6027,2011,Nuclear Engineering,Engineering,33,7,6,7,6
6237,2012,Nuclear Engineering,Engineering,12,8,2,8,9
6444,2013,Nuclear Engineering,Engineering,8,6,2,4,5
6652,2014,Nuclear Engineering,Engineering,5,4,1,2,3
6859,2015,Nuclear Engineering,Engineering,3,2,1,3,0
7068,2016,Nuclear Engineering,Engineering,2,2,0,2,0
7278,2017,Nuclear Engineering,Engineering,2,2,0,2,0
5624,2009,"Nuclear, Plasma, Radiolgc Engr ",Engineering,70,7,3,51,5
5822,2010,"Nuclear, Plasma, Radiolgc Engr ",Engineering,76,65,5,9,4
6028,2011,"Nuclear, Plasma, Radiolgc Engr ",Engineering,92,84,8,70,6
6238,2012,"Nuclear, Plasma, Radiolgc Engr ",Engineering,95,80,6,78,5
6445,2013,"Nuclear, Plasma, Radiolgc Engr ",Engineering,81,7,4,8,9
6653,2014,"Nuclear, Plasma, Radiolgc Engr ",Engineering,79,63,5,9,7
6860,2015,"Nuclear, Plasma, Radiolgc Engr ",Engineering,82,70,8,9,9
7069,2016,"Nuclear, Plasma, Radiolgc Engr ",Engineering,81,66,6,64,7
7279,2017,"Nuclear, Plasma, Radiolgc Engr ",Engineering,76,66,6,8,5
7492,2018,"Nuclear, Plasma, Radiolgc Engr ",Engineering,55,8,9,7,8
4580,2003,Systems & Entrepreneurial Engr,Engineering,12,10,2,4,8
4757,2004,Systems & Entrepreneurial Engr,Engineering,21,19,2,6,15
4928,2005,Systems & Entrepreneurial Engr,Engineering,23,22,2,7,3
5104,2006,Systems & Entrepreneurial Engr,Engineering,24,6,1,5,6
5282,2007,Systems & Entrepreneurial Engr,Engineering,26,5,2,4,6
5466,2008,Systems & Entrepreneurial Engr,Engineering,24,6,3,5,5
